gbifID;countryCode;locality;stateProvince;individualCount;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;eventDate;year;month;day;rightsHolder
4863420440;AR;;Jujuy;1;-23.74424;-64.838609;30154;2023-07-18T14:58;2023;7;18;Walter Bustamante
4855495917;PE;;Madre de Dios;1;-12.529042;-68.950904;31081;2023-03-30T23:21;2023;3;30;tmcroydon2002
4855303931;BR;;Mato Grosso do Sul;1;-20.164127;-56.542522;32587;2024-04-03T16:42:52;2024;4;3;pricsp
4855247883;MX;;Campeche;1;17.891654;-89.548375;30699;2024-05-03T00:56:28;2024;5;3;Juan Cruzado Cortés
4855193230;BR;;Amapá;1;2.056935;-50.429887;31441;2024-04-27T12:09:14;2024;4;27;laurenvannoort
4855040475;GT;;Petén;1;17.369527;-89.504643;30748;2024-04-16T22:04;2024;4;16;Otny Méndez
4855036774;MX;;Campeche;1;17.992404;-89.433595;30699;2024-05-02T14:51:16;2024;5;2;Juan Cruzado Cortés
4854934389;BO;;Santa Cruz;1;-17.924823;-63.489123;30699;2024-04-27T10:58:10;2024;4;27;krivero
4854914339;GT;;Petén;1;17.457022;-89.392291;30732;2024-04-30T09:49;2024;4;30;Sociedad civil Laborantes del bosque
4852837689;BR;;Mato Grosso;1;-16.451269;-56.785327;30810;2023-09-18T17:39:13;2023;9;18;erivelto84
4852820765;PE;;Madre de Dios;1;-12.949287;-69.474274;31057;2023-02-12T18:52;2023;2;12;Kato V.
4852122686;BR;;Amazonas;1;-2.006495;-59.656198;31441;2023-03-14T09:55;2023;3;14;Renato Rollin
4852022715;BO;;El Beni;1;-13.95276;-65.709566;30994;2021-09-08T10:59:27;2021;9;8;Ruben D. Layme
4851916900;BZ;;Cayo;1;17.119499;-88.893873;30764;2024-02-08T04:37;2024;2;8;Belize Karst Habitat Conservation
4851749722;CO;;Guainía;1;3.816133;-67.601826;31415;2024-04-02T13:59;2024;4;2;Nicola Flanagan
4847204429;BO;;Santa Cruz;1;-16.281673;-64.285524;30826;2024-03-12T10:41;2024;3;12;Romer Miserendino Salazar
4847134054;BR;;Mato Grosso;1;-17.269907;-56.719047;30748;2023-09-16T07:02;2023;9;16;Marco Silva
4847061793;GT;;Petén;1;17.56088;-90.010382;30732;2023-04-12T15:31:50;2023;4;12;Cornelio Chablé
4846887936;BR;;Mato Grosso;1;-16.437197;-56.681879;30810;2023-08-24T09:44;2023;8;24;Pablo Edini Damião
4607674744;CO;;Putumayo;1;0.979948;-76.732249;31449;2024-03-26T18:02;2024;3;26;Savimbo
4607631147;BR;;Mato Grosso;1;-17.316678;-56.764566;30748;2023-06-09T09:53:52;2023;6;9;Tim Cowley
4607608786;CO;;Putumayo;1;0.984718;-76.755895;31449;2024-04-02T05:56;2024;4;2;Savimbo
4607578320;CO;;Putumayo;1;0.900579;-76.891744;31449;2020-01-14T22:53;2020;1;14;Savimbo
4607474555;MX;;Quintana Roo;1;18.535145;-89.02719;30649;2024-04-03T09:45;2024;4;3;Juan Cruzado Cortés
4607166910;CO;;Putumayo;1;0.836739;-76.662633;31449;2024-03-10T22:10;2024;3;10;Savimbo
4607112603;CO;;Putumayo;1;0.881912;-76.610013;31449;2024-04-02T02:21;2024;4;2;Savimbo
4607079453;CO;;Putumayo;1;0.974296;-76.689989;31449;2024-03-06T04:25;2024;3;6;Savimbo
4607079234;BR;;Mato Grosso;1;-17.369855;-56.796547;30748;2023-06-09T09:21:58;2023;6;9;Tim Cowley
4607043786;BR;;Mato Grosso;1;-17.296556;-56.756706;30748;2023-06-09T08:20:55;2023;6;9;Tim Cowley
